time,U,V
3216,-0.9749403,-0.7673191
3222,-0.4051599,-2.9733171
3228,0.9256127,-3.1345882
3234,0.9550504,-3.742095
3240,-0.09141159,-3.2897148
3246,0.31318092,0.71494865
3252,-0.062446594,1.1768055
3258,1.6665975,1.8303579
3264,1.005085,1.3917618
3270,-0.39499187,0.48814964
3276,-2.8737316,-0.19180965
3282,-5.5001497,-3.8826838
3288,-7.7197104,-1.5025043
3294,-6.7618046,-2.9526901
3300,-8.593029,-3.6126623
3306,-9.608462,-3.7451992
3312,-10.309611,-3.8036346
3318,-10.266093,-2.3848104
3324,-10.87379,-2.2161055
3330,-9.935028,-0.453166
3336,-8.154904,6.2146463
3342,0.07473755,7.325675
3348,-2.5556126,6.8322973
3354,3.438297,7.1488695
3360,2.7142432,7.094208
3366,4.128684,6.656003
3372,2.586465,6.3139067
3378,4.453662,7.700533
3384,4.183448,8.252634
3390,8.21597,5.9660254
3396,7.5018206,4.3127465
3402,7.8491583,-2.639534
3408,7.3998394,-7.326107
3414,4.6963286,-4.787751
3420,2.8258996,-4.648796
3426,1.3830318,-3.2673779
3432,0.5689516,-2.426321
3438,-1.5456018,-2.5583315
3444,-4.1760197,-1.122261
3450,-5.1374655,0.6580452
3456,-3.5539045,0.8064232
3462,-2.4836845,-0.4074291
3468,-4.2704945,-0.9320517
3474,-3.293064,2.1213808
3480,-1.5075569,2.167679
3486,0.3369074,0.027314901
3492,-2.1782942,0.143848
3498,-0.881691,1.8455038
3504,1.3281164,2.9614105
3510,3.6535091,1.0861917
3516,3.6756105,1.151269
3522,3.33424,1.7263408
3528,3.789176,1.216155
3534,3.9278917,0.67759544
3540,2.7238283,0.47502178
3546,1.8096552,1.2545223
3552,2.4186115,2.8660939
3558,5.5163136,-0.16044426
3564,3.2587824,-1.881628
3570,3.236123,-2.7814941
3576,3.807476,-1.8247004
3582,3.037674,-4.3002462
3588,1.4275031,-2.2871828
3594,0.6500473,-1.8944893
3600,0.7669363,-0.5150013
3606,0.42323875,-2.44903
3612,-1.865098,-0.87328625
3618,-3.411127,-1.4137411
3624,-5.37739,-0.7026081
3630,-6.231578,-2.6485815
3636,-7.547168,-1.5824785
3642,-7.8280697,-2.1835928
3648,-7.215376,-1.5252686
3654,-4.7414703,-2.379942
3660,-6.3016777,-1.9941072
3666,-6.8169765,-0.35961372
3672,-6.1336937,-0.8135557
3678,-5.913249,-1.3684988
3684,-7.3094893,-0.14815766
3690,-5.706663,-1.4443827
3696,-6.0926504,-0.11057186
3702,-5.4232845,-0.95465946
3708,-5.943036,-0.22034007
3714,-5.3480663,-0.7679386
3720,-5.323742,1.3312528
3726,-2.557043,2.4636612
3732,-1.9276867,0.8598601
3738,1.2805452,0.07036501
3744,1.3544226,3.248067
3750,4.350459,1.505231
3756,2.669446,0.91789865
3762,4.367811,2.3577633
3768,3.4219675,3.0261307
3774,4.9668894,1.3187687
3780,4.0172606,-0.77821064
3786,1.1545324,0.7292998
3792,1.4752665,2.7886686
3798,3.3607378,1.0890343
3804,2.6734629,-0.94321156
3810,1.5490379,-1.2798004
3816,0.9971282,0.38639265
3822,1.3798981,0.35917503
3828,-1.1576033,0.31728166
3834,-0.27321428,2.7380362
3840,-1.1920214,2.8506422
3846,0.7479322,0.44910002
3852,-1.3868713,0.170757
3858,0.16032183,2.1943254
3864,0.53364795,2.0892496
3870,2.8057775,2.3386889
3876,3.4401922,-0.5021639
3882,2.722659,-1.8127947
3888,1.3144736,0.44980818
3894,2.6346712,1.50322
3900,2.75134,-1.0529127
3906,-0.004843712,1.1907482
3912,0.67160493,2.5217695
3918,1.3947351,3.2172928
3924,1.6370966,0.53643954
3930,0.34497112,-0.27614093
3936,-1.7618065,0.67329234
3942,-1.9177771,-0.87718964
3948,-4.348016,0.006446779
3954,-3.0668688,1.8741045
3960,-3.5558271,-0.922863
3966,-4.750598,-0.36292595
3972,-6.3780947,-0.4852413
3978,-7.4314976,1.2104073
3984,-8.040881,3.2265968
3990,-6.798952,1.23108
3996,-7.5353956,0.8338507
4002,-6.673977,1.8492231
4008,-6.399581,2.2168007
4014,-5.2822895,0.21147919
4020,-6.7028084,0.76244074
4026,-5.995099,3.1257105
4032,-5.4368916,3.7146454
4038,-6.0170975,1.7408361
4044,-7.469096,3.9329662
4050,-6.518321,2.7891026
4056,-6.08932,3.7900553
4062,-4.321451,0.87385315
4068,-6.2582006,2.9575148
4074,-5.5824585,2.5894604
4080,-3.6039925,4.3925085
4086,-0.9934225,3.1741896
4092,-3.1097603,2.6351328
4098,-2.1736622,4.2244654
4104,-2.4199095,4.692807
4110,-2.805377,4.077483
4116,-3.7706318,5.511813
4122,-5.6865454,5.4665623
4128,-4.2521553,6.276642
4134,-6.6458197,1.5563955
4140,-6.3515635,4.279337
4146,-6.779497,6.247878
4152,-8.977003,8.132151
4158,-9.048887,4.3592997
4164,-10.436571,4.900814
4170,-7.445922,4.4419146
4176,-8.6982,4.845992
4182,-7.722192,3.7034073
4188,-7.55305,2.6726046
4194,-5.266453,4.576664
4200,-3.1457052,3.9204607
4206,-3.3151321,3.8459997
4212,-1.6322441,3.245452
4218,-1.0110626,4.6242304
4224,-2.2022038,5.0594826
4230,-0.05894494,4.631193
4236,1.5942371,4.412204
4242,0.23271757,6.1303797
4248,1.4023678,6.6735897
4254,4.271821,4.567198
4260,1.8950748,4.987092
4266,2.5978336,4.670189
4272,4.328681,7.1071863
4278,5.9528284,3.7029762
4284,3.4689884,5.0827837
4290,2.8577433,7.227708
4296,5.049677,8.000319
4302,5.6804,3.6055717
4308,3.2401419,5.532295
4314,-4.277755,5.340658
4320,-3.3754663,7.29702
4326,-1.2570257,3.7248764
4332,-0.57779026,5.080209
4338,-1.9844971,3.9802933
4344,-2.1312723,3.4448833
