05:20:00 04/02/2016 , 47 , 37 , 32 
05:30:00 04/02/2016 , 47 , 37 , 32 
05:40:00 04/02/2016 , 47 , 37 , 32 
05:50:00 04/02/2016 , 47 , 36 , 32 
06:00:00 04/02/2016 , 47 , 36 , 32 
06:10:00 04/02/2016 , 47 , 36 , 32 
06:20:00 04/02/2016 , 47 , 36 , 32 
06:30:00 04/02/2016 , 46 , 36 , 32 
06:40:00 04/02/2016 , 46 , 36 , 32 
06:50:00 04/02/2016 , 46 , 36 , 32 
07:00:00 04/02/2016 , 46 , 36 , 32 
07:10:00 04/02/2016 , 46 , 35 , 32 
07:20:00 04/02/2016 , 46 , 35 , 32 
07:30:00 04/02/2016 , 46 , 35 , 32 
07:40:00 04/02/2016 , 46 , 35 , 32 
07:50:00 04/02/2016 , 46 , 35 , 32 
08:00:00 04/02/2016 , 46 , 35 , 32 
08:10:00 04/02/2016 , 46 , 35 , 32 
08:20:00 04/02/2016 , 46 , 35 , 32 
08:30:00 04/02/2016 , 45 , 35 , 32 
08:40:00 04/02/2016 , 45 , 35 , 32 
08:50:00 04/02/2016 , 45 , 35 , 32 
09:00:00 04/02/2016 , 45 , 35 , 32 
09:10:00 04/02/2016 , 45 , 35 , 32 
09:20:00 04/02/2016 , 46 , 34 , 32 
09:30:00 04/02/2016 , 45 , 34 , 31 
09:40:00 04/02/2016 , 45 , 34 , 31 
09:50:00 04/02/2016 , 45 , 34 , 31 
10:00:00 04/02/2016 , 45 , 34 , 31 
10:10:00 04/02/2016 , 45 , 34 , 31 
10:20:00 04/02/2016 , 45 , 34 , 31 
10:30:00 04/02/2016 , 45 , 34 , 31 
10:40:00 04/02/2016 , 45 , 34 , 31 
10:50:00 04/02/2016 , 45 , 34 , 31 
11:00:00 04/02/2016 , 45 , 34 , 31 
11:10:00 04/02/2016 , 44 , 34 , 31 
11:20:00 04/02/2016 , 45 , 34 , 31 
11:30:00 04/02/2016 , 45 , 34 , 31 
11:40:00 04/02/2016 , 45 , 34 , 31 
11:50:00 04/02/2016 , 45 , 33 , 31 
12:00:00 04/02/2016 , 44 , 34 , 31 
12:10:00 04/02/2016 , 44 , 34 , 31 
12:20:00 04/02/2016 , 44 , 34 , 31 
12:30:00 04/02/2016 , 44 , 34 , 31 
12:40:00 04/02/2016 , 44 , 34 , 31 
12:50:00 04/02/2016 , 44 , 34 , 31 
13:00:00 04/02/2016 , 44 , 34 , 31 
13:10:00 04/02/2016 , 44 , 34 , 31 
13:20:00 04/02/2016 , 44 , 34 , 31 
13:30:00 04/02/2016 , 44 , 34 , 31 
13:40:00 04/02/2016 , 44 , 34 , 31 
13:50:00 04/02/2016 , 44 , 34 , 31 
14:00:00 04/02/2016 , 44 , 34 , 31 
14:10:00 04/02/2016 , 44 , 34 , 31 
14:20:00 04/02/2016 , 44 , 34 , 31 
14:30:00 04/02/2016 , 44 , 34 , 31 
14:40:00 04/02/2016 , 44 , 34 , 31 
14:50:00 04/02/2016 , 44 , 34 , 31 
15:00:00 04/02/2016 , 44 , 34 , 31 
15:10:00 04/02/2016 , 44 , 34 , 31 
15:20:00 04/02/2016 , 44 , 34 , 30 
15:30:00 04/02/2016 , 44 , 34 , 30 
15:40:00 04/02/2016 , 44 , 34 , 30 
15:50:00 04/02/2016 , 44 , 34 , 30 
16:00:00 04/02/2016 , 44 , 34 , 30 
16:10:00 04/02/2016 , 44 , 34 , 30 
16:20:00 04/02/2016 , 44 , 34 , 30 
16:30:00 04/02/2016 , 44 , 33 , 30 
16:40:00 04/02/2016 , 44 , 33 , 30 
16:50:00 04/02/2016 , 44 , 33 , 30 
17:00:00 04/02/2016 , 44 , 34 , 30 
17:10:00 04/02/2016 , 44 , 33 , 30 
17:20:00 04/02/2016 , 44 , 33 , 30 
17:30:00 04/02/2016 , 44 , 33 , 30 
17:40:00 04/02/2016 , 44 , 33 , 30 
17:50:00 04/02/2016 , 44 , 33 , 30 
18:00:00 04/02/2016 , 45 , 33 , 30 
18:10:00 04/02/2016 , 45 , 33 , 30 
18:20:00 04/02/2016 , 45 , 33 , 30 
18:30:00 04/02/2016 , 45 , 34 , 30 
18:40:00 04/02/2016 , 45 , 34 , 30 
18:50:00 04/02/2016 , 45 , 34 , 30 
19:00:00 04/02/2016 , 46 , 34 , 30 
19:10:00 04/02/2016 , 46 , 34 , 30 
19:20:00 04/02/2016 , 46 , 34 , 30 
19:30:00 04/02/2016 , 46 , 34 , 30 
19:40:00 04/02/2016 , 46 , 34 , 30 
19:50:00 04/02/2016 , 46 , 34 , 30 
20:00:00 04/02/2016 , 46 , 35 , 30 
20:10:00 04/02/2016 , 46 , 35 , 30 
20:20:00 04/02/2016 , 46 , 35 , 30 
20:30:00 04/02/2016 , 47 , 35 , 30 
20:40:00 04/02/2016 , 47 , 35 , 30 
20:50:00 04/02/2016 , 47 , 35 , 30 
21:00:00 04/02/2016 , 47 , 35 , 30 
21:10:00 04/02/2016 , 47 , 35 , 30 
21:20:00 04/02/2016 , 48 , 35 , 30 
21:30:00 04/02/2016 , 48 , 36 , 30 
21:40:00 04/02/2016 , 48 , 36 , 30 
21:50:00 04/02/2016 , 48 , 36 , 30 
22:00:00 04/02/2016 , 48 , 36 , 30 
22:10:00 04/02/2016 , 48 , 36 , 30 
22:20:00 04/02/2016 , 48 , 36 , 30 
22:30:00 04/02/2016 , 48 , 37 , 30 
22:40:00 04/02/2016 , 48 , 37 , 30 
22:50:00 04/02/2016 , 48 , 37 , 30 
23:00:00 04/02/2016 , 48 , 37 , 30 
23:10:00 04/02/2016 , 48 , 37 , 31 
23:20:00 04/02/2016 , 48 , 37 , 31 
23:30:00 04/02/2016 , 48 , 37 , 31 
23:40:00 04/02/2016 , 48 , 37 , 31 
23:50:00 04/02/2016 , 48 , 37 , 31 
00:00:00 04/03/2016 , 48 , 37 , 31 
00:10:00 04/03/2016 , 48 , 37 , 31 
00:20:00 04/03/2016 , 48 , 37 , 31 
00:30:01 04/03/2016 , 48 , 37 , 31 
00:40:00 04/03/2016 , 48 , 38 , 31 
00:50:00 04/03/2016 , 48 , 38 , 31 
01:00:00 04/03/2016 , 48 , 38 , 31 
01:10:00 04/03/2016 , 48 , 38 , 31 
01:20:00 04/03/2016 , 48 , 38 , 31 
01:30:00 04/03/2016 , 48 , 38 , 31 
01:40:00 04/03/2016 , 48 , 38 , 31 
01:50:00 04/03/2016 , 48 , 38 , 31 
02:00:00 04/03/2016 , 48 , 39 , 31 
02:10:00 04/03/2016 , 48 , 39 , 31 
02:20:00 04/03/2016 , 48 , 39 , 31 
02:30:00 04/03/2016 , 48 , 39 , 31 
02:40:00 04/03/2016 , 48 , 39 , 31 
02:50:00 04/03/2016 , 48 , 39 , 31 
