Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160512_1300,30,578,573,0,21.3,396,20160512_1309,9018,7.17,1.52
20160512_1330,30,561,557,0,21.4,391,20160512_1339,7532,7.2,1.39
20160512_1400,30,539,536,0,21.5,378,20160512_1409,7329,7.02,1.39
20160512_1430,30,507,504,0,21.6,347,20160512_1439,6562,7.07,1.31
20160512_1500,30,460,457,0,21.6,314,20160512_1509,6985,7.09,1.35
20160512_1530,30,493,490,0,21.5,341,20160512_1539,5853,6.91,1.25
20160512_1600,30,530,527,0,21.4,369,20160512_1609,6777,7.05,1.33
20160512_1630,30,504,499,0,21.3,340,20160512_1639,6360,6.86,1.31
20160512_1700,30,450,444,0,21.2,294,20160512_1709,7254,6.99,1.39
20160512_1730,30,458,451,0,21.1,300,20160512_1739,6233,6.58,1.33
20160512_1800,30,483,477,0,21.1,317,20160512_1809,6802,6.46,1.4
20160512_1830,30,505,499,0,21.2,332,20160512_1839,7068,6.79,1.39
20160512_1900,30,554,548,0,21.3,374,20160512_1909,6435,6.58,1.35
20160512_1930,30,577,574,0,21.4,402,20160512_1939,5760,6.36,1.31
20160512_2000,30,582,579,0,21.5,408,20160512_2009,5860,6.64,1.28
20160512_2030,30,542,539,0,21.6,372,20160512_2039,6492,6.62,1.36
20160512_2100,30,579,576,0,21.6,400,20160512_2109,7236,6.65,1.43
20160512_2130,30,608,605,0,21.5,426,20160512_2139,7265,6.62,1.44
20160512_2200,30,653,649,0,21.4,458,20160512_2209,7789,6.86,1.45
20160512_2230,30,624,619,0,21.3,427,20160512_2239,7543,6.87,1.43
20160512_2300,30,557,551,0,21.2,368,20160512_2309,7539,6.95,1.42
20160512_2330,30,457,450,0,21.1,299,20160512_2339,8684,7.27,1.48
20160513_0000,30,480,473,0,21.1,315,20160513_0009,7421,7.01,1.4
20160513_0030,30,486,480,0,21.2,317,20160513_0039,6764,6.87,1.35
20160513_0100,30,512,507,0,21.3,346,20160513_0109,6941,6.92,1.36
20160513_0130,30,594,590,0,21.4,415,20160513_0139,6908,6.71,1.39
20160513_0200,30,512,509,0,21.5,356,20160513_0209,6712,6.81,1.36
20160513_0230,30,544,540,0,21.6,372,20160513_0239,6179,6.69,1.31
20160513_0300,30,562,559,0,21.6,386,20160513_0309,7568,7.01,1.41
20160513_0330,30,532,528,0,21.5,371,20160513_0339,7404,7.03,1.39
20160513_0400,30,601,597,0,21.4,420,20160513_0409,5542,6.44,1.27
20160513_0430,30,561,556,0,21.3,382,20160513_0439,7568,6.91,1.42
20160513_0500,30,561,556,0,21.2,375,20160513_0509,7733,7.05,1.43
20160513_0530,30,489,483,0,21.1,323,20160513_0539,6007,6.62,1.31
20160513_0600,30,512,505,0,21.1,338,20160513_0609,5913,6.79,1.27
20160513_0630,30,513,507,0,21.2,338,20160513_0639,5912,6.66,1.29
20160513_0700,30,477,472,0,21.3,322,20160513_0709,6444,6.82,1.33
